Geneid	/ufrc/jkim6/share/braskey/labmtg_20200709/data/alignments/SRR9313225.sam
AT1G10880	0
AT1G10890	1016
AT1G10900	463
AT1G10910	749
AT1G10920	40
AT1G10930	261
AT1G10940	1484
AT1G10950	2339
AT1G10960	10768
AT1G10970	60
AT1G10980	0
AT1G10990	63
AT1G11000	322
AT1G11010	0
AT1G11020	251
AT1G11030	0
AT1G11040	0
AT1G11050	120
AT1G11060	333
AT1G11070	8
AT1G11080	34
AT1G11090	112
AT1G11100	78
AT1G11110	0
AT1G11112	1
AT1G11120	155
AT1G11125	12
AT1G11130	128
AT1G11145	0
AT1G11160	32
AT1G11170	48
AT1G11175	194
AT1G11180	287
AT1G11185	8
AT1G11190	106
AT1G11200	156
AT1G11210	75
AT1G11220	19
AT1G11230	2
AT1G11240	267
AT1G11250	0
AT1G11260	2279
AT1G11270	92
AT1G11280	391
AT1G11290	42
AT1G11300	142
AT1G11310	1583
AT1G11320	43
AT1G11330	83
AT1G11340	12
AT1G11350	206
AT1G11360	676
AT1G11362	0
AT1G11370	1
AT1G11380	211
AT1G11390	576
AT1G11400	569
AT1G11410	281
AT1G11420	27
AT1G11430	1044
AT1G11440	171
AT1G11450	73
AT1G11460	0
AT1G11470	0
AT1G11475	79
AT1G11480	1797
AT1G11490	6
AT1G11500	1
AT1G11510	0
AT1G11520	0
AT1G11530	243
AT1G11540	24
AT1G11545	1238
AT1G11550	0
AT1G11560	0
AT1G11570	5
AT1G11572	0
AT1G11580	1285
AT1G11590	0
AT1G11592	296
AT1G11593	0
AT1G11600	1403
AT1G11608	0
AT1G11610	0
AT1G11620	0
AT1G11630	77
AT1G11640	0
AT1G11650	3802
AT1G11655	0
AT1G11660	580
AT1G11670	757
AT1G11680	1605
AT1G11684	0
AT1G11690	0
AT1G11700	183
AT1G11710	42
AT1G11720	681
AT1G11730	13
AT1G11735	15
AT1G11740	83
AT1G11750	816
AT1G11755	101
AT1G11760	114
AT1G11765	0
AT1G11770	0
AT1G11780	146
AT1G11785	0
AT1G11790	325
AT1G11800	49
AT1G11810	0
AT1G11820	999
AT1G11840	1401
AT1G11850	116
AT1G11860	7118
AT1G11870	418
AT1G11880	100
AT1G11890	492
AT1G11900	32
AT1G11905	141
AT1G11910	16723
AT1G11915	23
AT1G11920	0
AT1G11925	0
AT1G11930	659
AT1G11940	94
AT1G11950	156
AT1G11960	246
AT1G11970	0
AT1G11980	0
AT1G11990	0
AT1G12000	988
AT1G12010	206
AT1G12013	0
AT1G12015	0
AT1G12020	91
AT1G12030	0
AT1G12040	22
AT1G12050	405
AT1G12060	31
AT1G12064	17
AT1G12070	93
AT1G12080	26086
AT1G12090	15418
AT1G12100	0
AT1G12110	4986
AT1G12120	905
AT1G12130	55
AT1G12140	424
AT1G12150	0
AT1G12160	105
AT1G12170	0
AT1G12180	0
AT1G12190	0
AT1G12200	199
AT1G12210	32
AT1G12211	0
AT1G12220	104
AT1G12230	1571
AT1G12240	3985
AT1G12244	100
AT1G12250	604
AT1G12260	118
AT1G12270	715
AT1G12280	69
AT1G12290	100
AT1G12294	0
AT1G12300	75
AT1G12310	1390
AT1G12320	127
AT1G12330	482
AT1G12340	0
AT1G12350	211
AT1G12360	1375
AT1G12370	375
AT1G12380	43
AT1G12390	119
AT1G12400	61
AT1G12410	1180
AT1G12411	0
AT1G12420	239
AT1G12423	0
AT1G12430	261
AT1G12440	1816
AT1G12450	127
AT1G12451	0
AT1G12460	278
AT1G12470	701
AT1G12480	6
AT1G12490	0
AT1G12500	1599
AT1G12510	0
AT1G12520	1444
AT1G12530	149
AT1G12540	0
AT1G12550	26
AT1G12560	2
AT1G12570	2
AT1G12580	1426
AT1G12590	0
AT1G12600	9
AT1G12610	1
AT1G12620	122
AT1G12630	1
AT1G12640	596
AT1G12650	309
AT1G12660	0
AT1G12663	0
AT1G12665	1
AT1G12672	0
AT1G12680	334
AT1G12700	79
AT1G12710	96
AT1G12730	90
AT1G12740	88
AT1G12750	246
AT1G12760	1290
AT1G12770	647
AT1G12775	29
AT1G12780	1693
AT1G12790	98
AT1G12800	2252
AT1G12805	0
AT1G12810	528
AT1G12820	1238
AT1G12830	136
AT1G12840	1684
AT1G12845	84
AT1G12850	675
AT1G12855	0
AT1G12860	524
AT1G12870	0
AT1G12880	149
AT1G12890	1
AT1G12900	4074
AT1G12910	392
AT1G12920	1026
AT1G12930	492
AT1G12938	0
AT1G12940	0
AT1G12950	9
AT1G12960	0
AT1G12970	151
AT1G12980	1
AT1G12990	279
AT1G13000	331
AT1G13010	0
AT1G13020	740
AT1G13030	64
AT1G13040	28
AT1G13050	60
AT1G13060	1352
AT1G13080	1247
AT1G13090	227
AT1G13100	191
AT1G13110	633
AT1G13120	283
AT1G13130	11
AT1G13140	0
AT1G13150	0
AT1G13160	326
AT1G13170	592
AT1G13180	136
AT1G13190	407
AT1G13195	156
AT1G13200	0
AT1G13210	543
AT1G13220	251
AT1G13230	4
AT1G13240	0
AT1G13245	286
AT1G13250	213
AT1G13260	565
AT1G13270	187
AT1G13280	421
AT1G13290	0
AT1G13300	118
AT1G13310	3
AT1G13320	1051
AT1G13330	21
AT1G13340	27
AT1G13350	642
AT1G13360	1014
AT1G13370	0
AT1G13380	286
AT1G13390	377
AT1G13400	16
AT1G13410	24
AT1G13420	145
AT1G13430	224
AT1G13440	12540
AT1G13448	9
AT1G13450	493
AT1G13460	252
AT1G13470	0
AT1G13480	19
AT1G13485	0
AT1G13490	5
AT1G13500	5
AT1G13510	14
AT1G13520	47
AT1G13530	63
AT1G13540	8
AT1G13550	7
AT1G13560	807
AT1G13570	243
AT1G13580	122
AT1G13590	63
AT1G13600	11
AT1G13605	0
AT1G13607	0
AT1G13608	0
AT1G13609	0
AT1G13610	6
AT1G13620	0
AT1G13630	42
AT1G13635	10
AT1G13640	2087
AT1G13650	7
AT1G13670	670
AT1G13680	1
AT1G13690	144
AT1G13700	72
AT1G13710	180
AT1G13720	0
AT1G13730	409
AT1G13740	1462
AT1G13750	86
AT1G13755	0
AT1G13760	0
AT1G13770	189
AT1G13780	163
AT1G13790	17
AT1G13800	7
AT1G13810	30
AT1G13820	247
AT1G13830	49
AT1G13840	0
AT1G13850	0
AT1G13860	258
AT1G13870	254
AT1G13880	565
AT1G13890	0
AT1G13900	401
AT1G13910	84
AT1G13920	64
AT1G13930	2949
AT1G13940	371
AT1G13950	99
AT1G13960	769
AT1G13970	72
AT1G13980	1002
AT1G13990	392
AT1G14000	1109
AT1G14010	230
AT1G14020	379
AT1G14030	346
AT1G14040	103
AT1G14048	0
AT1G14060	42
AT1G14070	22
AT1G14071	0
AT1G14080	81
AT1G14100	0
AT1G14110	0
AT1G14120	425
AT1G14130	189
AT1G14140	172
AT1G14150	248
AT1G14160	78
AT1G14170	203
AT1G14180	73
AT1G14185	26
AT1G14190	25
AT1G14200	374
AT1G14205	18
AT1G14210	494
AT1G14220	12
AT1G14225	0
AT1G14230	489
AT1G14240	115
AT1G14250	0
AT1G14260	23
AT1G14270	615
AT1G14280	461
AT1G14290	792
AT1G14300	54
AT1G14310	83
AT1G14315	1
AT1G14320	5136
AT1G14330	517
AT1G14340	222
AT1G14345	1623
AT1G14350	403
AT1G14360	151
AT1G14370	207
AT1G14380	436
AT1G14390	77
AT1G14400	3417
AT1G14410	130
AT1G14420	4
AT1G14430	257
AT1G14440	195
AT1G14450	282
AT1G14455	1
AT1G14460	592
AT1G14470	28
AT1G14480	64
AT1G14490	26
