Geneid	/ufrc/jkim6/share/braskey/data/PRJNA549285/TopHat/alignments/SRR9313226.sam
AT1G08830	3627
AT1G08840	101
AT1G08845	37
AT1G08860	9
AT1G08870	0
AT1G08880	480
AT1G08890	600
AT1G08900	472
AT1G08910	891
AT1G08920	1193
AT1G08930	2218
AT1G08940	165
AT1G08950	0
AT1G08960	255
AT1G08970	775
AT1G08980	527
AT1G08985	0
AT1G08990	165
AT1G09000	96
AT1G09010	1166
AT1G09020	1367
AT1G09026	0
AT1G09030	0
AT1G09040	72
AT1G09050	43
AT1G09060	875
AT1G09070	3370
AT1G09080	16
AT1G09090	159
AT1G09100	313
AT1G09110	0
AT1G09130	1233
AT1G09140	2791
AT1G09150	362
AT1G09155	14
AT1G09157	0
AT1G09160	603
AT1G09170	11
AT1G09176	2
AT1G09180	10
AT1G09190	32
AT1G09195	180
AT1G09200	442
AT1G09210	1790
AT1G09220	12
AT1G09230	501
AT1G09240	244
AT1G09245	0
AT1G09250	1404
AT1G09260	0
AT1G09270	1580
AT1G09280	567
AT1G09290	120
AT1G09300	67
AT1G09310	20908
AT1G09320	118
AT1G09330	611
AT1G09340	6502
AT1G09350	279
AT1G09360	0
AT1G09370	0
AT1G09380	37
AT1G09390	726
AT1G09400	2
AT1G09410	16
AT1G09415	236
AT1G09420	448
AT1G09421	12
AT1G09430	1348
AT1G09440	94
AT1G09450	22
AT1G09460	632
AT1G09470	28
AT1G09480	56
AT1G09483	0
AT1G09490	254
AT1G09500	7
AT1G09510	0
AT1G09520	220
AT1G09530	609
AT1G09540	88
AT1G09550	0
AT1G09560	3145
AT1G09570	8572
AT1G09575	175
AT1G09580	100
AT1G09590	1244
AT1G09600	18
AT1G09610	23
AT1G09620	2213
AT1G09625	0
AT1G09630	209
AT1G09640	3865
AT1G09645	269
AT1G09650	8
AT1G09660	548
AT1G09665	0
AT1G09680	14
AT1G09690	2033
AT1G09700	93
AT1G09710	181
AT1G09720	0
AT1G09730	815
AT1G09740	1173
AT1G09750	2537
AT1G09760	483
AT1G09770	2588
AT1G09780	1634
AT1G09790	0
AT1G09794	41
AT1G09795	434
AT1G09800	41
AT1G09810	124
AT1G09812	56
AT1G09815	219
AT1G09820	77
AT1G09830	316
AT1G09840	943
AT1G09850	256
AT1G09860	2
AT1G09870	652
AT1G09880	13
AT1G09890	51
AT1G09900	201
AT1G09910	269
AT1G09920	612
AT1G09930	2
AT1G09932	46
AT1G09935	0
AT1G09940	624
AT1G09950	44
AT1G09960	204
AT1G09970	3364
AT1G09980	717
AT1G09995	69
AT1G10000	3
AT1G10010	0
AT1G10020	577
AT1G10030	162
AT1G10040	97
AT1G10050	347
AT1G10060	61
AT1G10070	765
AT1G10090	588
AT1G10095	51
AT1G10100	0
AT1G10110	7
AT1G10120	975
AT1G10130	1026
AT1G10140	430
AT1G10150	445
AT1G10155	3
AT1G10170	2178
AT1G10180	404
AT1G10190	0
AT1G10200	1465
AT1G10210	210
AT1G10220	5
AT1G10230	84
AT1G10240	178
AT1G10250	0
AT1G10270	155
AT1G10280	132
AT1G10290	1737
AT1G10300	14
AT1G10310	204
AT1G10320	372
AT1G10330	30
AT1G10340	56
AT1G10350	178
AT1G10360	627
AT1G10370	437
AT1G10380	467
AT1G10385	2
AT1G10390	2363
AT1G10400	64
AT1G10410	1036
AT1G10417	55
AT1G10430	653
AT1G10440	0
AT1G10450	633
